d_produit,p_nom,p_description,p_prix,p_stock,p_note,p_nb_ventes,p_statut,discount_percentage,image_url,review_count,avg_rating,category
1,Galette Bretonne,Galette au sarrasin traditionnelle,29.99,20,4.5,150,En ligne,10,../src/img/Photo/galette.webp,45,4.5,Nourriture
2,Crêpe au Chocolat,Crêpe garnie de chocolat fondant,5.50,35,4.2,89,En ligne,0,../src/img/Photo/crepe_chocolat.webp,32,4.2,Nourriture
3,Cidre Brut,Bouteille de cidre breton,12.00,15,4.7,200,En ligne,15,../src/img/Photo/cidre_brut.webp,67,4.7,Boisson
4,Caramel au Beurre Salé,Pot de caramel maison,6.50,0,4.0,45,En rupture,0,../src/img/Photo/caramel.webp,23,4.0,Épicerie
5,Thé à la Menthe,Sachets de thé à la menthe,9.00,8,4.3,78,En ligne,20,../src/img/Photo/the_menthe.webp,34,4.3,Boisson
6,Kouign Amann,Véritable gâteau breton au beurre et sucre,14.50,12,4.8,110,En ligne,0,../src/img/Photo/kouign_amann.webp,55,4.8,Pâtisserie
7,Palets Bretons,Boîte de biscuits sablés pur beurre,7.90,50,4.6,230,En ligne,5,../src/img/Photo/palets_bretons.webp,90,4.6,Épicerie
8,Bolée à Cidre,Lot de 2 bolées traditionnelles en faïence,19.99,25,4.4,65,En ligne,0,../src/img/Photo/bolee_cidre.webp,28,4.4,Artisanat
9,Conserve de Sardines,Sardines millésimées à l'huile d'olive,4.75,40,4.1,52,En ligne,0,../src/img/Photo/sardines.webp,15,4.1,Épicerie
10,Farine de Sarrasin,Sac de 1kg de farine de blé noir (IGP Bretagne),8.50,60,4.9,180,En ligne,10,../src/img/Photo/farine_sarrasin.webp,75,4.9,Épicerie
11,Marinière Classique,Pull marin en coton rayé bleu et blanc,49.90,30,4.7,95,En ligne,10,../src/img/Photo/mariniere.webp,42,4.7,Textile
12,Huîtres N°3 (x12),Douzaine d'huîtres creuses de Cancale,22.00,10,4.9,70,En ligne,0,../src/img/Photo/huitres.webp,30,4.9,Mer
13,Fleur de Sel de Guérande,Sachet de 250g de fleur de sel,5.90,150,4.8,300,En ligne,0,../src/img/Photo/sel_guerande.webp,120,4.8,Épicerie
14,Gâteau Breton (part),Part de gâteau traditionnel pur beurre,3.50,40,4.5,88,En ligne,0,../src/img/Photo/gateau_breton.webp,35,4.5,Pâtisserie
15,Chouchen Artisanal,Hydromel breton aux saveurs de miel,18.50,18,4.3,40,En ligne,5,../src/img/Photo/chouchen.webp,22,4.3,Boisson
16,Andouille de Guémené,Véritable andouille fumée (tranchée),9.20,22,4.2,35,En ligne,0,../src/img/Photo/andouille.webp,18,4.2,Nourriture
17,Confiture de Fraises Plougastel,Pot de confiture de fraises de Plougastel,6.80,50,4.6,115,En ligne,0,../src/img/Photo/confiture_fraise.webp,50,4.6,Épicerie
18,Affiche 'Port de Doëlan',Reproduction d'affiche vintage (30x40cm),25.00,30,4.9,60,En ligne,15,../src/img/Photo/affiche_doelan.webp,25,4.9,Artisanat
19,Soupe de Poisson (1L),Soupe de poissons de roche avec rouille,11.50,0,4.4,72,En rupture,0,../src/img/Photo/soupe_poisson.webp,33,4.4,Mer
20,Ciré Jaune Marin,Imperméable traditionnel (adulte),59.99,28,4.7,55,En ligne,0,../src/img/Photo/cire_jaune.webp,29,4.7,Textile
21,Cidre Doux (Bio),Bouteille de cidre doux biologique,11.50,25,4.6,90,En ligne,0,../src/img/Photo/cidre_doux.webp,40,4.6,Boisson
22,Rillettes de Thon,Pot de 100g de rillettes de thon aux algues,4.90,70,4.3,120,En ligne,0,../src/img/Photo/rillettes_thon.webp,45,4.3,Mer
23,Savon au Lait d'Ânesse,Savon artisanal bio (parfumé lavande),7.20,40,4.8,85,En ligne,10,../src/img/Photo/savon_anesse.webp,38,4.8,Artisanat
24,Couteau Marin (Manche Bois),Couteau pliant avec démanilleur,35.00,15,4.5,50,En ligne,0,../src/img/Photo/couteau_marin.webp,20,4.5,Artisanat
25,Miel de Bretagne (Toutes Fleurs),Pot de 500g de miel local,12.50,50,4.9,130,En ligne,0,../src/img/Photo/miel_bretagne.webp,60,4.9,Épicerie
26,Pâté Hénaff (Boîte 156g),Le célèbre pâté en conserve,2.95,200,4.7,450,En ligne,0,../src/img/Photo/pate_henaff.webp,150,4.7,Épicerie
